batter,bowler,runs,balls,dismissals,strike_rate,average
AB Barath,SL Malinga,4,2,2,200.0,2.0
AB Barath,Z Khan,4,3,3,133.33333333333331,1.3333333333333333
AB Dinda,A Mishra,2,3,3,66.66666666666666,0.6666666666666666
AB Dinda,AD Mascarenhas,1,1,1,100.0,1.0
AB Dinda,CH Gayle,6,5,5,120.0,1.2
AB Dinda,DJ Bravo,2,2,2,100.0,1.0
AB Dinda,DJ Thornely,1,1,1,100.0,1.0
AB Dinda,DW Steyn,0,2,2,0.0,0.0
AB Dinda,Harbhajan Singh,0,3,3,0.0,0.0
AB Dinda,KA Pollard,1,1,2,100.0,0.5
AB Dinda,MG Johnson,2,5,5,40.0,0.4
AB Dinda,P Awana,1,4,4,25.0,0.25
AB Dinda,PJ Cummins,0,1,1,0.0,0.0
AB Dinda,PV Tambe,0,3,3,0.0,0.0
AB Dinda,R Vinay Kumar,0,1,1,0.0,0.0
AB Dinda,RP Singh,3,3,3,100.0,1.0
AB Dinda,SL Malinga,1,6,6,16.666666666666664,0.16666666666666666
AB Dinda,SR Watson,0,1,1,0.0,0.0
AB Dinda,Sohail Tanvir,1,2,2,50.0,0.5
AB Dinda,Z Khan,5,4,5,125.0,1.0
AB McDonald,A Kumble,1,2,2,50.0,0.5
AB McDonald,AG Murtaza,5,6,6,83.33333333333334,0.8333333333333334
AB McDonald,Azhar Mahmood,5,3,3,166.66666666666669,1.6666666666666667
AB McDonald,CRD Fernando,6,6,6,100.0,1.0
AB McDonald,DAJ Bracewell,6,5,5,120.0,1.2
AB McDonald,DE Bollinger,2,2,2,100.0,1.0
AB McDonald,DJ Bravo,16,9,9,177.77777777777777,1.7777777777777777
AB McDonald,DJ Hussey,2,4,4,50.0,0.5
AB McDonald,DW Steyn,8,3,3,266.66666666666663,2.6666666666666665
AB McDonald,Harbhajan Singh,6,8,8,75.0,0.75
AB McDonald,IK Pathan,19,7,7,271.42857142857144,2.7142857142857144
AB McDonald,JA Morkel,1,1,1,100.0,1.0
AB McDonald,KA Pollard,5,6,6,83.33333333333334,0.8333333333333334
AB McDonald,M Morkel,4,3,3,133.33333333333331,1.3333333333333333
AB McDonald,P Awana,7,6,7,116.66666666666667,1.0
AB McDonald,P Kumar,9,7,9,128.57142857142858,1.0
AB McDonald,PP Chawla,3,3,3,100.0,1.0
AB McDonald,R Vinay Kumar,1,2,2,50.0,0.5
AB McDonald,RE van der Merwe,2,2,2,100.0,1.0
AB McDonald,S Nadeem,0,2,2,0.0,0.0
AB McDonald,SK Trivedi,8,5,5,160.0,1.6
AB McDonald,SW Tait,6,4,4,150.0,1.5
AB McDonald,UT Yadav,1,4,4,25.0,0.25
AB de Villiers,A Ashish Reddy,46,18,18,255.55555555555554,2.5555555555555554
AB de Villiers,A Chandila,26,11,11,236.36363636363637,2.3636363636363638
AB de Villiers,A Flintoff,34,12,12,283.33333333333337,2.8333333333333335
AB de Villiers,A Kumble,39,41,41,95.1219512195122,0.9512195121951219
AB de Villiers,A Mishra,40,37,37,108.10810810810811,1.0810810810810811
AB de Villiers,A Nehra,61,28,29,217.85714285714283,2.103448275862069
AB de Villiers,A Nortje,16,11,11,145.45454545454547,1.4545454545454546
AB de Villiers,A Singh,11,7,7,157.14285714285714,1.5714285714285714
AB de Villiers,A Symonds,15,12,12,125.0,1.25
AB de Villiers,A Uniyal,1,1,1,100.0,1.0
AB de Villiers,A Zampa,1,3,3,33.33333333333333,0.3333333333333333
AB de Villiers,AB Agarkar,6,5,5,120.0,1.2
AB de Villiers,AB Dinda,50,17,18,294.11764705882354,2.7777777777777777
AB de Villiers,AC Thomas,14,6,6,233.33333333333334,2.3333333333333335
AB de Villiers,AD Mascarenhas,8,13,13,61.53846153846154,0.6153846153846154
AB de Villiers,AD Mathews,7,3,3,233.33333333333334,2.3333333333333335
AB de Villiers,AD Russell,87,36,39,241.66666666666666,2.230769230769231
AB de Villiers,AG Murtaza,18,18,18,100.0,1.0
AB de Villiers,AJ Tye,23,21,21,109.52380952380953,1.0952380952380953
AB de Villiers,AN Ahmed,10,7,8,142.85714285714286,1.25
AB de Villiers,AR Patel,71,70,70,101.42857142857142,1.0142857142857142
AB de Villiers,AS Rajpoot,34,15,15,226.66666666666666,2.2666666666666666
AB de Villiers,AS Raut,10,5,5,200.0,2.0
AB de Villiers,Abhishek Sharma,2,3,3,66.66666666666666,0.6666666666666666
AB de Villiers,Anand Rajan,17,7,7,242.85714285714283,2.4285714285714284
AB de Villiers,Ankit Sharma,39,20,20,195.0,1.95
AB de Villiers,Ankit Soni,3,4,5,75.0,0.6
AB de Villiers,Anureet Singh,10,9,9,111.11111111111111,1.1111111111111112
AB de Villiers,Arshdeep Singh,6,2,2,300.0,3.0
AB de Villiers,Avesh Khan,9,12,12,75.0,0.75
AB de Villiers,Azhar Mahmood,20,16,17,125.0,1.1764705882352942
AB de Villiers,B Akhil,16,14,14,114.28571428571428,1.1428571428571428
AB de Villiers,B Kumar,68,41,43,165.85365853658536,1.5813953488372092
AB de Villiers,B Laughlin,13,7,7,185.71428571428572,1.8571428571428572
AB de Villiers,B Lee,5,3,3,166.66666666666669,1.6666666666666667
AB de Villiers,BA Stokes,4,9,10,44.44444444444444,0.4
AB de Villiers,BAW Mendis,6,4,4,150.0,1.5
AB de Villiers,BB Sran,19,16,17,118.75,1.1176470588235294
AB de Villiers,Basil Thampi,16,6,7,266.66666666666663,2.2857142857142856
AB de Villiers,Bipul Sharma,4,5,5,80.0,0.8
AB de Villiers,CH Morris,71,33,35,215.15151515151513,2.0285714285714285
AB de Villiers,CJ Dala,1,1,1,100.0,1.0
AB de Villiers,CL White,1,2,2,50.0,0.5
AB de Villiers,CR Brathwaite,0,1,1,0.0,0.0
AB de Villiers,CR Woakes,6,4,4,150.0,1.5
AB de Villiers,CV Varun,17,14,14,121.42857142857142,1.2142857142857142
AB de Villiers,DAJ Bracewell,16,9,9,177.77777777777777,1.7777777777777777
AB de Villiers,DE Bollinger,9,4,4,225.0,2.25
AB de Villiers,DJ Bravo,72,45,47,160.0,1.5319148936170213
AB de Villiers,DJ Hooda,4,1,1,400.0,4.0
AB de Villiers,DJ Hussey,23,12,13,191.66666666666669,1.7692307692307692
AB de Villiers,DJG Sammy,34,11,11,309.09090909090907,3.090909090909091
AB de Villiers,DL Chahar,10,16,17,62.5,0.5882352941176471
AB de Villiers,DP Nannes,14,7,7,200.0,2.0
AB de Villiers,DR Sams,9,5,5,180.0,1.8
AB de Villiers,DR Smith,30,16,16,187.5,1.875
AB de Villiers,DS Kulkarni,50,38,38,131.57894736842107,1.3157894736842106
AB de Villiers,DT Christian,2,6,6,33.33333333333333,0.3333333333333333
AB de Villiers,DW Steyn,55,23,23,239.1304347826087,2.391304347826087
AB de Villiers,GB Hogg,11,9,9,122.22222222222223,1.2222222222222223
AB de Villiers,GC Viljoen,22,10,12,220.00000000000003,1.8333333333333333
AB de Villiers,GJ Maxwell,15,8,10,187.5,1.5
AB de Villiers,HH Pandya,88,39,39,225.64102564102564,2.2564102564102564
AB de Villiers,HV Patel,53,23,23,230.43478260869566,2.3043478260869565
AB de Villiers,Harbhajan Singh,110,78,81,141.02564102564102,1.3580246913580247
AB de Villiers,Harmeet Singh,26,19,19,136.8421052631579,1.368421052631579
AB de Villiers,Harpreet Brar,1,6,6,16.666666666666664,0.16666666666666666
AB de Villiers,I Sharma,37,33,34,112.12121212121211,1.088235294117647
AB de Villiers,IC Pandey,23,17,17,135.29411764705884,1.3529411764705883
AB de Villiers,IK Pathan,67,41,44,163.41463414634146,1.5227272727272727
AB de Villiers,IS Sodhi,22,12,12,183.33333333333331,1.8333333333333333
AB de Villiers,Imran Tahir,58,40,41,145.0,1.4146341463414633
AB de Villiers,Iqbal Abdulla,7,6,6,116.66666666666667,1.1666666666666667
AB de Villiers,J Botha,10,8,8,125.0,1.25
AB de Villiers,J Suchith,25,11,11,227.27272727272728,2.272727272727273
AB de Villiers,JA Morkel,36,28,29,128.57142857142858,1.2413793103448276
AB de Villiers,JC Archer,30,13,13,230.76923076923075,2.3076923076923075
AB de Villiers,JD Ryder,9,4,4,225.0,2.25
AB de Villiers,JD Unadkat,45,26,26,173.0769230769231,1.7307692307692308
AB de Villiers,JEC Franklin,7,4,4,175.0,1.75
AB de Villiers,JH Kallis,36,42,42,85.71428571428571,0.8571428571428571
AB de Villiers,JJ Bumrah,131,89,90,147.19101123595507,1.4555555555555555
AB de Villiers,JL Pattinson,13,6,6,216.66666666666666,2.1666666666666665
AB de Villiers,JO Holder,7,10,10,70.0,0.7
AB de Villiers,JP Behrendorff,3,3,3,100.0,1.0
AB de Villiers,JP Duminy,15,16,16,93.75,0.9375
AB de Villiers,JP Faulkner,62,30,30,206.66666666666669,2.066666666666667
AB de Villiers,JR Hazlewood,2,2,2,100.0,1.0
AB de Villiers,Joginder Sharma,6,7,7,85.71428571428571,0.8571428571428571
AB de Villiers,K Gowtham,1,1,1,100.0,1.0
AB de Villiers,K Rabada,42,23,24,182.6086956521739,1.75
AB de Villiers,KA Pollard,23,22,22,104.54545454545455,1.0454545454545454
AB de Villiers,KC Cariappa,22,11,11,200.0,2.0
AB de Villiers,KH Pandya,51,47,49,108.51063829787233,1.0408163265306123
AB de Villiers,KJ Abbott,0,2,2,0.0,0.0
AB de Villiers,KK Ahmed,1,1,1,100.0,1.0
AB de Villiers,KK Cooper,17,7,8,242.85714285714283,2.125
AB de Villiers,KL Nagarkoti,20,8,8,250.0,2.5
AB de Villiers,KP Appanna,9,8,8,112.5,1.125
AB de Villiers,KV Sharma,29,29,29,100.0,1.0
AB de Villiers,KW Richardson,14,6,6,233.33333333333334,2.3333333333333335
AB de Villiers,Kamran Khan,6,8,9,75.0,0.6666666666666666
AB de Villiers,Karanveer Singh,21,7,7,300.0,3.0
AB de Villiers,Kartik Tyagi,7,7,8,100.0,0.875
AB de Villiers,Kuldeep Yadav,22,12,12,183.33333333333331,1.8333333333333333
AB de Villiers,L Ablish,2,3,3,66.66666666666666,0.6666666666666666
AB de Villiers,L Balaji,42,28,29,150.0,1.4482758620689655
AB de Villiers,LH Ferguson,7,4,4,175.0,1.75
