batter,bowling_team,runs,balls,dismissals,fours,sixes,strike_rate,average
B Indrajith,Delhi Capitals,6,8,8,0,0,75.0,0.75
B Indrajith,Lucknow Super Giants,0,6,6,0,0,0.0,0.0
B Indrajith,Rajasthan Royals,15,16,17,2,0,93.75,0.8823529411764706
B Kumar,Chennai Super Kings,39,46,50,1,1,84.78260869565217,0.78
B Kumar,Delhi Capitals,27,23,25,4,0,117.3913043478261,1.08
B Kumar,Gujarat Titans,28,28,31,3,0,100.0,0.9032258064516129
B Kumar,Kolkata Knight Riders,55,54,55,7,1,101.85185185185186,1.0
B Kumar,Lucknow Super Giants,3,3,3,0,0,100.0,1.0
B Kumar,Mumbai Indians,35,45,45,2,0,77.77777777777779,0.7777777777777778
B Kumar,Punjab Kings,28,43,43,2,0,65.11627906976744,0.6511627906976745
B Kumar,Rajasthan Royals,36,41,42,3,0,87.8048780487805,0.8571428571428571
B Kumar,Rising Pune Supergiants,22,11,12,3,1,200.0,1.8333333333333333
B Kumar,Royal Challengers Bengaluru,42,53,55,6,0,79.24528301886792,0.7636363636363637
B Kumar,Sunrisers Hyderabad,14,11,11,1,0,127.27272727272727,1.2727272727272727
B Laughlin,Chennai Super Kings,0,1,1,0,0,0.0,0.0
B Laughlin,Mumbai Indians,4,9,9,0,0,44.44444444444444,0.4444444444444444
B Laughlin,Sunrisers Hyderabad,1,3,3,0,0,33.33333333333333,0.3333333333333333
B Lee,Chennai Super Kings,6,7,7,1,0,85.71428571428571,0.8571428571428571
B Lee,Delhi Capitals,27,15,15,0,3,180.0,1.8
B Lee,Kolkata Knight Riders,7,5,6,1,0,140.0,1.1666666666666667
B Lee,Mumbai Indians,29,26,28,3,1,111.53846153846155,1.0357142857142858
B Lee,Other,2,5,5,0,0,40.0,0.4
B Lee,Rajasthan Royals,30,19,20,3,2,157.89473684210526,1.5
B Lee,Royal Challengers Bengaluru,9,5,5,0,1,180.0,1.8
B Lee,Sunrisers Hyderabad,14,15,16,0,1,93.33333333333333,0.875
B Sai Sudharsan,Chennai Super Kings,299,174,181,25,14,171.83908045977012,1.6519337016574585
B Sai Sudharsan,Delhi Capitals,295,185,189,32,9,159.45945945945945,1.560846560846561
B Sai Sudharsan,Kolkata Knight Riders,105,74,77,9,3,141.89189189189187,1.3636363636363635
B Sai Sudharsan,Lucknow Super Giants,123,90,95,18,1,136.66666666666666,1.2947368421052632
B Sai Sudharsan,Mumbai Indians,250,176,180,24,6,142.04545454545453,1.3888888888888888
B Sai Sudharsan,Punjab Kings,270,205,213,27,8,131.70731707317074,1.267605633802817
B Sai Sudharsan,Rajasthan Royals,249,175,184,26,8,142.28571428571428,1.3532608695652173
B Sai Sudharsan,Royal Challengers Bengaluru,159,113,120,17,5,140.7079646017699,1.325
B Sai Sudharsan,Sunrisers Hyderabad,156,113,120,21,2,138.05309734513273,1.3
B Stanlake,Mumbai Indians,5,2,2,1,0,250.0,2.5
B Sumanth,Chennai Super Kings,16,18,19,2,0,88.88888888888889,0.8421052631578947
B Sumanth,Delhi Capitals,7,12,12,0,0,58.333333333333336,0.5833333333333334
B Sumanth,Punjab Kings,6,3,3,1,0,200.0,2.0
B Sumanth,Royal Challengers Bengaluru,6,4,4,0,0,150.0,1.5
BA Bhatt,Kolkata Knight Riders,6,2,2,0,1,300.0,3.0
BA Bhatt,Sunrisers Hyderabad,0,5,5,0,0,0.0,0.0
BA Stokes,Chennai Super Kings,149,107,109,9,5,139.25233644859813,1.3669724770642202
BA Stokes,Delhi Capitals,101,87,89,11,3,116.0919540229885,1.1348314606741574
BA Stokes,Gujarat Titans,7,6,6,1,0,116.66666666666667,1.1666666666666667
BA Stokes,Kolkata Knight Riders,75,74,75,5,2,101.35135135135135,1.0
BA Stokes,Lucknow Super Giants,8,8,9,1,0,100.0,0.8888888888888888
BA Stokes,Mumbai Indians,185,115,121,22,4,160.8695652173913,1.5289256198347108
BA Stokes,Other,128,81,82,9,7,158.02469135802468,1.5609756097560976
BA Stokes,Punjab Kings,132,83,85,11,7,159.03614457831324,1.5529411764705883
BA Stokes,Royal Challengers Bengaluru,45,45,48,4,1,100.0,0.9375
BA Stokes,Sunrisers Hyderabad,105,92,94,8,3,114.13043478260869,1.1170212765957446
BAW Mendis,Mumbai Indians,0,1,1,0,0,0.0,0.0
BAW Mendis,Royal Challengers Bengaluru,3,5,5,0,0,60.0,0.6
BB McCullum,Chennai Super Kings,235,181,185,26,9,129.8342541436464,1.2702702702702702
BB McCullum,Delhi Capitals,305,263,273,32,10,115.96958174904944,1.1172161172161172
BB McCullum,Kolkata Knight Riders,343,240,248,36,19,142.91666666666666,1.3830645161290323
BB McCullum,Mumbai Indians,475,349,365,55,17,136.1031518624642,1.3013698630136987
BB McCullum,Other,83,87,88,10,1,95.40229885057471,0.9431818181818182
BB McCullum,Punjab Kings,277,244,259,24,12,113.52459016393443,1.0694980694980696
BB McCullum,Rajasthan Royals,159,122,125,15,9,130.327868852459,1.272
BB McCullum,Rising Pune Supergiants,186,112,116,18,10,166.07142857142858,1.603448275862069
BB McCullum,Royal Challengers Bengaluru,569,384,397,55,30,148.17708333333331,1.433249370277078
BB McCullum,Sunrisers Hyderabad,250,208,216,22,13,120.1923076923077,1.1574074074074074
BB Samantray,Kolkata Knight Riders,5,2,2,1,0,250.0,2.5
BB Samantray,Other,39,39,39,3,1,100.0,1.0
BB Samantray,Punjab Kings,10,13,13,1,0,76.92307692307693,0.7692307692307693
BB Samantray,Rajasthan Royals,69,57,60,8,1,121.05263157894737,1.15
BB Samantray,Royal Challengers Bengaluru,2,2,2,0,0,100.0,1.0
BB Sran,Delhi Capitals,1,2,2,0,0,50.0,0.5
BB Sran,Kolkata Knight Riders,6,6,6,0,0,100.0,1.0
BB Sran,Rising Pune Supergiants,1,1,1,0,0,100.0,1.0
BB Sran,Sunrisers Hyderabad,2,5,5,0,0,40.0,0.4
BCJ Cutting,Delhi Capitals,50,34,34,2,4,147.05882352941177,1.4705882352941178
BCJ Cutting,Kolkata Knight Riders,39,20,21,2,4,195.0,1.8571428571428572
BCJ Cutting,Mumbai Indians,20,10,11,4,0,200.0,1.8181818181818181
BCJ Cutting,Other,8,7,7,1,0,114.28571428571428,1.1428571428571428
BCJ Cutting,Punjab Kings,22,18,18,0,2,122.22222222222223,1.2222222222222223
BCJ Cutting,Rajasthan Royals,23,16,16,1,2,143.75,1.4375
BCJ Cutting,Royal Challengers Bengaluru,67,27,30,4,7,248.14814814814815,2.2333333333333334
BCJ Cutting,Sunrisers Hyderabad,9,9,9,1,0,100.0,1.0
BE Hendricks,Chennai Super Kings,1,2,2,0,0,50.0,0.5
BE Hendricks,Mumbai Indians,0,1,1,0,0,0.0,0.0
BJ Haddin,Royal Challengers Bengaluru,18,11,11,2,1,163.63636363636365,1.6363636363636365
BJ Hodge,Chennai Super Kings,186,142,147,12,7,130.98591549295776,1.2653061224489797
BJ Hodge,Delhi Capitals,89,87,87,9,1,102.29885057471265,1.0229885057471264
BJ Hodge,Kolkata Knight Riders,139,96,98,13,5,144.79166666666669,1.4183673469387754
BJ Hodge,Mumbai Indians,262,197,206,21,9,132.99492385786803,1.2718446601941749
BJ Hodge,Other,79,74,76,5,2,106.75675675675676,1.0394736842105263
BJ Hodge,Punjab Kings,188,139,141,17,6,135.25179856115108,1.3333333333333333
BJ Hodge,Rajasthan Royals,89,83,85,9,2,107.2289156626506,1.0470588235294118
BJ Hodge,Royal Challengers Bengaluru,165,149,156,17,3,110.73825503355705,1.0576923076923077
BJ Hodge,Sunrisers Hyderabad,203,151,157,19,8,134.43708609271522,1.2929936305732483
BJ Rohrer,Chennai Super Kings,4,5,6,0,0,80.0,0.6666666666666666
BJ Rohrer,Kolkata Knight Riders,10,3,3,0,1,333.33333333333337,3.3333333333333335
BJ Rohrer,Other,20,22,23,2,0,90.9090909090909,0.8695652173913043
BJ Rohrer,Punjab Kings,49,29,29,4,3,168.9655172413793,1.6896551724137931
