batter,season,runs_batter,balls_faced,is_wicket,is_four,is_six,strike_rate,batting_average
JH Kallis,2007/08,199,183,11,23,4,108.74316939890711,18.09090909090909
JH Kallis,2009,188,167,7,20,4,112.57485029940119,26.857142857142858
JH Kallis,2009/10,572,494,12,67,9,115.78947368421053,47.666666666666664
JH Kallis,2011,244,216,8,27,3,112.96296296296295,30.5
JJ Bumrah,2014,1,3,1,0,0,33.33333333333333,1.0
JJ Bumrah,2016,8,11,1,1,0,72.72727272727273,8.0
JJ Bumrah,2017,16,12,1,0,1,133.33333333333331,16.0
JJ Bumrah,2018,10,11,1,1,0,90.9090909090909,10.0
JJ Bumrah,2019,0,1,0,0,0,0.0,0.0
JJ Bumrah,2021,15,14,1,2,0,107.14285714285714,15.0
JJ Bumrah,2022,0,8,1,0,0,0.0,0.0
JJ Bumrah,2024,12,12,0,1,0,100.0,12.0
JJ Bumrah,2025,0,1,0,0,0,0.0,0.0
JJ Bumrah,2026,5,2,0,1,0,250.0,5.0
JJ Bumrah,2020/21,5,3,0,0,0,166.66666666666669,5.0
JJ Bumrah,2021,1,3,2,0,0,33.33333333333333,0.5
JJ Roy,2017,59,40,2,9,1,147.5,29.5
JJ Roy,2018,120,94,4,9,7,127.65957446808511,30.0
JJ Roy,2021,150,121,5,21,1,123.96694214876034,30.0
JJ Roy,2023,285,188,8,36,12,151.59574468085106,35.625
JJ van der Wath,2011,4,5,1,0,0,80.0,4.0
JJ van der Wath,2011,14,11,1,1,1,127.27272727272727,14.0
JL Denly,2019,0,1,1,0,0,0.0,0.0
JL Pattinson,2020/21,15,13,1,2,0,115.38461538461537,15.0
JM Bairstow,2019,304,194,7,38,11,156.70103092783506,43.42857142857143
JM Bairstow,2021,138,100,4,11,8,138.0,34.5
JM Bairstow,2022,253,175,11,34,9,144.57142857142858,23.0
JM Bairstow,2024,298,195,10,33,14,152.82051282051282,29.8
JM Bairstow,2025,85,46,2,7,5,184.7826086956522,42.5
JM Bairstow,2019,141,89,1,10,7,158.42696629213484,141.0
JM Bairstow,2020/21,345,272,12,31,13,126.83823529411764,28.75
JM Bairstow,2021,110,75,3,9,7,146.66666666666666,36.666666666666664
JM Kemp,2009/10,26,24,2,1,1,108.33333333333333,13.0
JM Sharma,2022,234,143,8,22,12,163.63636363636365,29.25
JM Sharma,2023,309,198,13,22,21,156.06060606060606,23.76923076923077
JM Sharma,2024,187,142,11,9,12,131.69014084507043,17.0
JM Sharma,2025,261,148,7,24,17,176.35135135135135,37.285714285714285
JM Sharma,2026,38,27,4,3,2,140.74074074074073,9.5
JO Holder,2014,16,12,1,2,1,133.33333333333331,16.0
JO Holder,2016,22,19,4,2,1,115.78947368421053,5.5
JO Holder,2021,81,67,5,2,6,120.89552238805969,16.2
JO Holder,2022,58,44,6,2,6,131.8181818181818,9.666666666666666
JO Holder,2023,12,11,2,0,1,109.09090909090908,6.0
JO Holder,2020/21,66,53,2,5,3,124.52830188679245,33.0
JO Holder,2021,4,5,1,0,0,80.0,4.0
JP Behrendorff,2023,6,9,0,0,0,66.66666666666666,6.0
JP Duminy,2009,307,272,5,19,9,112.86764705882352,61.4
JP Duminy,2011,145,118,6,6,6,122.88135593220339,24.166666666666668
JP Duminy,2012,244,190,3,13,11,128.42105263157896,81.33333333333333
JP Duminy,2014,410,305,8,22,20,134.4262295081967,51.25
JP Duminy,2015,414,315,10,27,20,131.42857142857142,41.4
JP Duminy,2016,191,156,5,13,3,122.43589743589745,38.2
JP Duminy,2018,36,40,1,3,1,90.0,36.0
JP Duminy,2009,65,53,3,7,2,122.64150943396226,21.666666666666668
JP Duminy,2009/10,157,131,4,13,5,119.84732824427482,39.25
JP Duminy,2011,60,56,4,3,2,107.14285714285714,15.0
JP Faulkner,2012,14,13,1,0,0,107.6923076923077,14.0
JP Faulkner,2013,57,57,5,5,2,100.0,11.4
JP Faulkner,2014,181,94,5,8,16,192.5531914893617,36.2
JP Faulkner,2015,144,110,9,12,5,130.9090909090909,16.0
JP Faulkner,2016,77,59,3,7,0,130.5084745762712,25.666666666666668
JP Faulkner,2017,54,57,5,4,0,94.73684210526315,10.8
JP Inglis,2025,278,171,10,26,16,162.5730994152047,27.8
JPR Scantlebury-Searles,2018,8,6,1,0,1,133.33333333333331,8.0
JR Hazlewood,2022,18,26,0,1,0,69.23076923076923,18.0
JR Hazlewood,2023,1,2,0,0,0,50.0,1.0
JR Hazlewood,2025,0,1,0,0,0,0.0,0.0
JR Hopes,2011,93,69,4,13,1,134.7826086956522,23.25
JR Hopes,2007/08,221,148,11,27,8,149.32432432432432,20.09090909090909
JR Hopes,2011,103,89,2,9,2,115.73033707865167,51.5
JR Philippe,2020/21,78,77,4,9,1,101.29870129870129,19.5
