bowler,season,runs_bowler,bowler_wicket,ball_no,overs,bowling_average,economy,strike_rate
AU Rashid,2021,35,0,18,3.0,35.0,11.666666666666666,18.0
AU Rashid,2023,56,2,42,7.0,28.0,8.0,21.0
AUK Pathan,2011,49,0,35,5.833333333333333,49.0,8.4,35.0
AUK Pathan,2012,14,0,6,1.0,14.0,14.0,6.0
Abdul Samad,2021,105,2,49,8.166666666666666,52.5,12.857142857142858,24.5
Abdul Samad,2022,8,0,6,1.0,8.0,8.0,6.0
Abdul Samad,2025,6,0,2,0.3333333333333333,6.0,18.0,2.0
Abdul Samad,2026,6,0,1,0.16666666666666666,6.0,36.0,1.0
Abdur Razzak,2008,29,0,14,2.3333333333333335,29.0,12.428571428571427,14.0
Abhinandan Singh,2026,122,3,60,10.0,40.666666666666664,12.2,20.0
Abhishek Sharma,2019,21,1,13,2.1666666666666665,21.0,9.692307692307693,13.0
Abhishek Sharma,2021,155,6,124,20.666666666666668,25.833333333333332,7.5,20.666666666666668
Abhishek Sharma,2022,38,0,24,4.0,38.0,9.5,24.0
Abhishek Sharma,2023,124,2,75,12.5,62.0,9.92,37.5
Abhishek Sharma,2024,51,2,42,7.0,25.5,7.285714285714286,21.0
Abhishek Sharma,2025,112,0,67,11.166666666666666,112.0,10.029850746268657,67.0
Abhishek Sharma,2026,22,0,11,1.8333333333333333,22.0,12.0,11.0
Akash Deep,2022,205,5,119,19.833333333333332,41.0,10.336134453781513,23.8
Akash Deep,2023,59,1,33,5.5,59.0,10.727272727272727,33.0
Akash Deep,2024,55,1,23,3.8333333333333335,55.0,14.347826086956522,23.0
Akash Deep,2025,229,3,127,21.166666666666668,76.33333333333333,10.818897637795274,42.333333333333336
Akash Madhwal,2023,219,15,160,26.666666666666668,14.6,8.2125,10.666666666666666
Akash Madhwal,2024,205,5,119,19.833333333333332,41.0,10.336134453781513,23.8
Akash Madhwal,2025,166,4,97,16.166666666666668,41.5,10.268041237113401,24.25
Akash Singh,2021,39,0,24,4.0,39.0,9.75,24.0
Akash Singh,2023,188,5,117,19.5,37.6,9.64102564102564,23.4
Akash Singh,2025,99,4,67,11.166666666666666,24.75,8.865671641791046,16.75
