bowler,batting_team,runs_conceded,wickets,balls,overs,economy,average,strike_rate
Brijesh Sharma,Chennai Super Kings,17,1,20,3.3333333333333335,5.1,17.0,20.0
Brijesh Sharma,Royal Challengers Bengaluru,37,2,24,4.0,9.25,18.5,12.0
C Bosch,Delhi Capitals,39,1,20,3.3333333333333335,11.7,39.0,20.0
C Bosch,Lucknow Super Giants,26,1,27,4.5,5.777777777777778,26.0,27.0
C Bosch,Rajasthan Royals,29,0,18,3.0,9.666666666666666,29.0,18.0
C Ganapathy,Royal Challengers Bengaluru,13,0,6,1.0,13.0,13.0,6.0
C Green,Chennai Super Kings,105,3,74,12.333333333333334,8.513513513513512,35.0,24.666666666666668
C Green,Delhi Capitals,49,1,45,7.5,6.533333333333333,49.0,45.0
C Green,Gujarat Titans,157,1,79,13.166666666666666,11.924050632911394,157.0,79.0
C Green,Kolkata Knight Riders,62,3,46,7.666666666666667,8.08695652173913,20.666666666666668,15.333333333333334
